"daily_fb_hrs","with_family","programming_hrs_day","motive_fulfilled_motivation","income_month","attendance","theory_interest","gender","classnote_taking","lab_interest","cgpa_status"
0.75,1,1,0,2,1,1,1,1,1,1
5.5,1,2,0,13,1,2,1,2,2,0
0.75,1,14,1,12,1,1,1,1,1,1
5.5,1,3,1,5,1,1,1,2,1,0
0.75,1,1,1,2,1,2,0,0,1,0
0.75,1,3,1,4,2,2,0,0,1,1
0.75,1,0.5,1,2,1,2,1,0,2,1
5.5,1,1,2,2,1,1,0,1,2,0
0.75,1,2,1,21,1,1,0,1,1,0
5.5,1,0,1,18,1,0,1,0,2,0
0.75,1,1,1,19,1,0,0,1,2,1
5.5,1,1,1,14,1,2,1,2,2,0
5.5,1,2,0,12,2,2,1,2,1,0
5.5,1,0,1,19,0,0,1,0,2,0
0.75,1,1,1,2,1,2,0,2,2,0
5.5,0,0.5,0,2,2,2,1,0,1,0
5.5,1,1,1,12,1,1,1,0,1,0
5.5,1,1,2,2,1,1,1,1,2,0
0.75,1,1,1,2,1,1,0,1,1,1
5.5,1,2,2,1,1,2,1,2,2,0
5.5,1,3,2,2,2,2,1,2,1,0
5.5,0,1,0,18,2,2,1,2,2,0
5.5,0,0,1,2,2,2,1,0,1,0
5.5,1,2,0,11,2,2,1,0,2,0
5.5,1,1,1,4,1,2,1,2,1,0
5.5,0,2,0,2,2,2,1,0,2,0
5.5,0,1,1,18,1,2,1,1,2,0
5.5,1,1,0,2,2,2,0,0,2,0
0.75,1,2,1,2,1,1,0,2,2,0
5.5,1,1,1,7,1,2,1,2,2,0
0.75,1,1.5,1,18,1,1,1,2,1,0
5.5,1,0,1,9,2,0,0,2,0,0
0.75,1,0,1,3,1,1,1,2,2,1
0.75,1,1,1,2,1,2,0,2,2,0
5.5,1,2,1,18,2,2,1,2,1,0
5.5,1,1,2,19,1,1,1,2,0,0
0.75,1,1,1,8,1,1,1,1,1,1
5.5,1,2,1,8,1,1,1,1,2,0
5.5,1,1,2,2,1,1,0,0,2,0
5.5,1,5,1,16,1,0,1,0,1,0
0.75,0,1,1,2,1,2,1,1,1,0
5.5,1,2,2,20,1,1,1,2,1,0
5.5,1,0.2,1,2,2,0,0,0,2,0
5.5,1,1,1,2,1,2,0,0,2,0
0.75,0,3,0,2,1,2,1,1,1,1
0.75,1,0,2,2,1,2,1,0,2,1
5.5,1,0,1,18,2,2,1,0,0,0
5.5,1,0.3,1,15,2,2,1,0,1,0
5.5,1,2,1,4,1,2,1,2,1,0
5.5,0,2,1,2,1,2,1,0,2,0
0.75,1,0,2,15,2,0,0,0,1,1
5.5,1,1,1,16,2,2,1,2,2,0
0.75,1,1,1,6,1,1,1,1,1,1
0.75,1,2,1,2,2,2,0,2,1,0
0.75,1,2,1,2,1,1,0,1,2,1
5.5,0,1,1,2,2,2,1,0,1,0
0.75,1,0.5,1,2,1,1,1,1,1,1
0.75,1,2,1,4,1,1,0,2,2,0
5.5,1,2,1,4,1,2,1,2,1,0
0.75,1,1,0,2,2,2,1,2,1,1
5.5,1,2,1,7,1,1,1,1,1,0
5.5,1,0.3,0,2,1,2,1,2,2,0
5.5,1,1,1,2,1,1,1,2,1,0
5.5,1,2,2,18,2,2,1,2,1,0
5.5,1,2,0,2,1,0,1,0,0,0
5.5,1,1,1,2,1,2,0,2,2,0
5.5,1,2,1,2,1,1,1,0,1,0
0.75,0,2,0,2,1,1,0,1,2,0
0.75,1,1,1,2,1,2,1,0,1,0
0.75,1,1,2,20,0,0,0,0,1,1
0.75,1,3,1,2,1,1,1,1,1,1
5.5,1,3,1,8,1,2,1,1,1,0
5.5,1,1,1,21,2,0,1,0,1,0
0.75,1,8,1,3,1,2,1,2,1,0
5.5,1,1,1,2,2,0,1,0,2,0
0.75,1,2,1,15,2,2,0,1,1,1
5.5,1,0.4,1,17,1,0,0,2,1,0
5.5,1,2,1,2,1,1,0,2,1,0
0.75,1,3,1,2,1,1,1,0,1,0
5.5,0,1,1,2,1,2,1,2,2,0
5.5,0,1,1,15,2,2,0,2,1,0
0.75,0,1,1,2,1,2,1,0,1,0
0.75,1,2,0,18,1,2,1,1,1,1
5.5,1,0,1,2,2,0,1,0,1,0
5.5,0,0,0,10,1,2,1,2,2,0
5.5,1,2,2,2,2,2,1,2,1,0
5.5,0,0,1,2,1,0,0,0,1,0
5.5,1,1,2,20,0,0,1,0,2,0
5.5,1,1,1,2,1,1,0,1,2,0
0.75,1,1,1,2,2,2,1,0,1,0
5.5,0,1,1,2,1,1,1,1,1,0
5.5,1,1,0,1,2,0,1,0,2,0
0.75,1,1,1,20,1,2,0,1,1,0
5.5,0,1,1,2,2,2,0,2,2,0
5.5,0,0,0,2,2,1,0,1,1,0
5.5,1,2,2,2,0,0,1,0,1,0
5.5,1,1,1,20,1,1,0,2,1,0
5.5,1,1,0,2,1,2,0,0,1,0
5.5,0,1,0,17,1,2,1,2,2,0
0.75,1,1,0,18,1,1,1,2,1,1
0.75,1,1,0,4,1,2,0,1,2,1
0.75,1,0.5,1,2,1,1,1,1,1,1
0.75,1,1,1,2,1,1,0,2,2,1
